schedule,object,fg_ssim,psnr,lap_var,rgb_std,grad_mag,gt_lap_var,gt_rgb_std,gt_grad_mag
cosine_bump,obj_0000,0.268470,16.3579,0.004730,0.159302,0.276367,0.017091,0.023681,0.404940
cosine_bump,obj_0001,0.155087,14.6008,0.035461,0.217773,0.501953,0.017740,0.129655,0.359339
cosine_bump,obj_0002,0.233246,13.3638,0.003866,0.186890,0.225830,0.016128,0.054597,0.283933
cosine_bump,obj_0003,0.231935,14.1969,0.013443,0.184814,0.378174,0.018337,0.049988,0.377326
cosine_bump,obj_0004,0.229489,13.2312,0.016144,0.171509,0.441406,0.019922,0.106184,0.370706
cosine_bump,obj_0005,0.176396,18.3152,0.003805,0.167847,0.225464,0.041689,0.040001,0.685948
cosine_bump,obj_0006,0.226345,22.7523,0.005390,0.150024,0.187256,0.016228,0.189192,0.402700
cosine_bump,obj_0007,0.178349,11.9734,0.005432,0.174316,0.251709,0.017951,0.020129,0.291724
cosine_bump,obj_0008,0.429098,18.5940,0.003130,0.171631,0.215088,0.008031,0.111448,0.265075
cosine_bump,obj_0009,0.285691,19.1201,0.003498,0.155273,0.180176,0.043917,0.048221,0.403298
cosine_bump,obj_0010,0.177067,15.8126,0.007465,0.179565,0.286377,0.031553,0.010938,0.515677
cosine_bump,obj_0011,0.219286,13.1806,0.013992,0.183350,0.389893,0.014048,0.024637,0.275750
cosine_bump,obj_0012,0.271161,15.7097,0.010895,0.253662,0.321777,0.011242,0.123227,0.322965
cosine_bump,obj_0013,0.520801,22.4393,0.002815,0.187622,0.189819,0.003821,0.001426,0.129375
cosine_bump,obj_0014,0.181440,13.0140,0.020218,0.190308,0.418213,0.026282,0.035060,0.486033
cosine_bump,obj_0015,0.499534,16.6549,0.006588,0.240479,0.251221,0.000915,0.001471,0.045309
cosine_bump,obj_0016,0.205254,21.0620,0.007721,0.199829,0.324707,0.048334,0.042507,0.670287
cosine_bump,obj_0017,0.301383,14.8142,0.004841,0.187988,0.210938,0.029716,0.006884,0.351114
cosine_bump,obj_0018,0.251899,14.3844,0.013947,0.161743,0.358398,0.013464,0.083816,0.252253
cosine_bump,obj_0019,0.178853,15.0312,0.012764,0.186890,0.419922,0.025550,0.079437,0.452439
cosine_bump,obj_0020,0.192566,15.7427,0.024261,0.222900,0.459229,0.026905,0.051097,0.439924
cosine_bump,obj_0021,0.218434,15.4027,0.005287,0.173096,0.244629,0.023159,0.025576,0.407928
cosine_bump,obj_0022,0.230610,14.8280,0.008583,0.177124,0.282715,0.020684,0.052386,0.397272
cosine_bump,obj_0023,0.293727,17.0406,0.003841,0.168091,0.212158,0.026121,0.016852,0.421931
cosine_bump,obj_0024,0.280718,18.4510,0.003208,0.162231,0.199341,0.023163,0.014670,0.442339
cosine_bump,obj_0025,0.272042,13.8168,0.007519,0.178955,0.256348,0.013096,0.009598,0.178121
cosine_bump,obj_0026,0.507431,19.5624,0.005672,0.196289,0.227539,0.003516,0.003031,0.123759
cosine_bump,obj_0027,0.173797,13.2546,0.032013,0.177368,0.511719,0.015523,0.057704,0.298078
cosine_bump,obj_0028,0.140390,18.1615,0.005013,0.165039,0.264893,0.061201,0.011970,0.823865
cosine_bump,obj_0029,0.110241,49.9867,0.000966,0.132812,0.064148,0.021052,0.142881,1.560523
cosine_bump,obj_0030,0.246338,16.6951,0.009232,0.192993,0.352051,0.023637,0.068148,0.433541
cosine_bump,obj_0031,0.211425,26.5850,0.002752,0.125366,0.175537,0.046172,0.013991,0.742477
cosine_bump,obj_0032,0.170256,11.3094,0.035156,0.209106,0.507812,0.024911,0.023806,0.393314
cosine_bump,obj_0033,0.219941,15.7360,0.010582,0.168579,0.338379,0.029614,0.095242,0.549603
cosine_bump,obj_0034,0.155781,16.7171,0.011406,0.171509,0.350342,0.042785,0.048544,0.689939
cosine_bump,obj_0035,0.261708,15.6197,0.004021,0.200073,0.242920,0.036350,0.140595,0.541891
cosine_bump,obj_0036,0.390844,18.7088,0.004173,0.151611,0.244141,0.016214,0.072742,0.346903
cosine_bump,obj_0037,0.161427,13.9148,0.007408,0.166016,0.325684,0.074510,0.011588,0.691537
cosine_bump,obj_0038,0.568501,18.4627,0.005558,0.203003,0.198975,0.000989,0.001606,0.049787
cosine_bump,obj_0039,0.358589,14.6559,0.008179,0.186279,0.278809,0.011566,0.145921,0.283703
cosine_bump,obj_0040,0.338397,14.8989,0.006393,0.201538,0.251709,0.016054,0.019151,0.264784
cosine_bump,obj_0041,0.138359,10.6135,0.055084,0.210693,0.608887,0.013521,0.018698,0.219974
cosine_bump,obj_0042,0.201640,15.3430,0.016068,0.171875,0.404785,0.038065,0.044038,0.502944
cosine_bump,obj_0043,0.149721,10.2557,0.043243,0.191406,0.492676,0.010896,0.024039,0.199306
cosine_bump,obj_0044,0.202512,19.1158,0.008209,0.162964,0.315430,0.043150,0.051051,0.645594
cosine_bump,obj_0045,0.220784,13.4690,0.012299,0.164185,0.347900,0.018226,0.011428,0.285688
cosine_bump,obj_0046,0.227369,13.0338,0.008316,0.174927,0.286621,0.018600,0.043589,0.304342
cosine_bump,obj_0047,0.173067,16.1829,0.005329,0.156250,0.260986,0.027494,0.015520,0.454694
cosine_bump,obj_0048,0.518191,21.5198,0.003038,0.166016,0.223267,0.004555,0.003848,0.141279
cosine_bump,obj_0049,0.295124,16.7348,0.008118,0.192505,0.313721,0.026298,0.065672,0.445086
cosine_bump,obj_0050,0.089659,18.8235,0.007519,0.137207,0.295654,0.073496,0.038335,0.850659
cosine_bump,obj_0051,0.211840,11.5731,0.010406,0.161255,0.356934,0.022108,0.041149,0.341234
cosine_bump,obj_0052,0.315394,19.6388,0.006359,0.115540,0.248901,0.026754,0.087938,0.477072
cosine_bump,obj_0053,0.267022,14.8103,0.005836,0.166748,0.246216,0.019288,0.008141,0.375408
cosine_bump,obj_0054,0.521800,22.7248,0.002964,0.186279,0.193726,0.002689,0.001581,0.108972
cosine_bump,obj_0055,0.189530,16.7398,0.005226,0.170898,0.241821,0.062989,0.134137,0.725974
cosine_bump,obj_0056,0.189510,12.3846,0.014290,0.219604,0.359619,0.016235,0.036494,0.313845
cosine_bump,obj_0057,0.208193,14.6719,0.011124,0.208618,0.393066,0.017024,0.175335,0.273884
cosine_bump,obj_0058,0.251651,18.9392,0.005280,0.170532,0.254150,0.031104,0.026762,0.573737
cosine_bump,obj_0059,0.287823,13.5671,0.008041,0.195923,0.333252,0.014937,0.053752,0.306990
cosine_bump,obj_0060,0.307508,17.5504,0.013268,0.211060,0.372803,0.010842,0.040589,0.279710
