schedule,object,fg_ssim,psnr,lap_var,rgb_std,grad_mag,gt_lap_var,gt_rgb_std,gt_grad_mag
linear_warmup,obj_0000,0.326423,15.9372,0.001997,0.092346,0.135986,0.017091,0.023681,0.404940
linear_warmup,obj_0001,0.194317,15.6226,0.012146,0.148193,0.332031,0.017740,0.129655,0.359339
linear_warmup,obj_0002,0.268646,13.4393,0.001934,0.104065,0.165405,0.016128,0.054597,0.283933
linear_warmup,obj_0003,0.280319,14.5468,0.007111,0.109802,0.246948,0.018337,0.049988,0.377326
linear_warmup,obj_0004,0.256834,12.3763,0.008179,0.123962,0.284912,0.019922,0.106184,0.370706
linear_warmup,obj_0005,0.190091,18.2265,0.002665,0.103149,0.170044,0.041689,0.040001,0.685948
linear_warmup,obj_0006,0.243596,22.6017,0.004124,0.097595,0.117859,0.016228,0.189192,0.402700
linear_warmup,obj_0007,0.206378,11.8907,0.002748,0.106384,0.159058,0.017951,0.020129,0.291724
linear_warmup,obj_0008,0.521550,17.7489,0.000933,0.087891,0.087769,0.008031,0.111448,0.265075
linear_warmup,obj_0009,0.300104,18.6986,0.002867,0.099243,0.141113,0.043917,0.048221,0.403298
linear_warmup,obj_0010,0.193055,15.5890,0.005875,0.137817,0.220581,0.031553,0.010938,0.515677
linear_warmup,obj_0011,0.261726,13.4398,0.007668,0.120056,0.287109,0.014048,0.024637,0.275750
linear_warmup,obj_0012,0.335592,16.8735,0.004833,0.168945,0.230103,0.011242,0.123227,0.322965
linear_warmup,obj_0013,0.632993,25.3978,0.001434,0.115540,0.117981,0.003821,0.001426,0.129375
linear_warmup,obj_0014,0.204213,12.9530,0.010223,0.144653,0.297363,0.026282,0.035060,0.486033
linear_warmup,obj_0015,0.623264,18.4967,0.003824,0.137451,0.167725,0.000915,0.001471,0.045309
linear_warmup,obj_0016,0.222764,20.5453,0.002794,0.123901,0.141724,0.048334,0.042507,0.670287
linear_warmup,obj_0017,0.351552,14.4352,0.001748,0.111633,0.129517,0.029716,0.006884,0.351114
linear_warmup,obj_0018,0.294478,14.3348,0.009804,0.100830,0.315430,0.013464,0.083816,0.252253
linear_warmup,obj_0019,0.197739,15.1088,0.005497,0.129150,0.251709,0.025550,0.079437,0.452439
linear_warmup,obj_0020,0.227611,16.3513,0.008690,0.152710,0.305420,0.026905,0.051097,0.439924
linear_warmup,obj_0021,0.246194,14.4833,0.003021,0.092468,0.143799,0.023159,0.025576,0.407928
linear_warmup,obj_0022,0.252002,14.1349,0.004730,0.110840,0.181763,0.020684,0.052386,0.397272
linear_warmup,obj_0023,0.312884,17.0035,0.002928,0.100037,0.178711,0.026121,0.016852,0.421931
linear_warmup,obj_0024,0.318442,19.1234,0.001719,0.105103,0.127441,0.023163,0.014670,0.442339
linear_warmup,obj_0025,0.285043,13.6315,0.006775,0.109192,0.232544,0.013096,0.009598,0.178121
linear_warmup,obj_0026,0.638232,21.0274,0.001860,0.119873,0.132568,0.003516,0.003031,0.123759
linear_warmup,obj_0027,0.214998,13.8185,0.016174,0.108887,0.390625,0.015523,0.057704,0.298078
linear_warmup,obj_0028,0.140242,17.7566,0.002214,0.102966,0.155518,0.061201,0.011970,0.823865
linear_warmup,obj_0029,0.145793,50.5963,0.002045,0.112366,0.076538,0.021052,0.142881,1.560523
linear_warmup,obj_0030,0.276626,17.3265,0.006367,0.129639,0.283447,0.023637,0.068148,0.433541
linear_warmup,obj_0031,0.220030,26.6934,0.007545,0.074890,0.255615,0.046172,0.013991,0.742477
linear_warmup,obj_0032,0.220361,12.4123,0.016678,0.140381,0.405518,0.024911,0.023806,0.393314
linear_warmup,obj_0033,0.257115,15.1654,0.011421,0.115601,0.279785,0.029614,0.095242,0.549603
linear_warmup,obj_0034,0.165664,16.1331,0.005169,0.095032,0.195068,0.042785,0.048544,0.689939
linear_warmup,obj_0035,0.287847,16.3418,0.002481,0.118774,0.189697,0.036350,0.140595,0.541891
linear_warmup,obj_0036,0.485630,19.7597,0.001339,0.095276,0.123657,0.016214,0.072742,0.346903
linear_warmup,obj_0037,0.178898,14.2354,0.004528,0.102295,0.220825,0.074510,0.011588,0.691537
linear_warmup,obj_0038,0.678351,20.1036,0.004089,0.127197,0.141235,0.000989,0.001606,0.049787
linear_warmup,obj_0039,0.411964,15.8260,0.004536,0.111633,0.221069,0.011566,0.145921,0.283703
