participant,object,criterion,choice
NUM01,OBJ01,texture,s2.50
NUM01,OBJ02,texture,C3
NUM01,OBJ03,texture,s2.50
NUM01,OBJ04,texture,s2.50
NUM01,OBJ05,texture,s1.25
NUM01,OBJ06,texture,C3
NUM01,OBJ07,texture,s2.50
NUM01,OBJ08,texture,s1.25
NUM01,OBJ09,texture,s1.25
NUM01,OBJ10,texture,s1.25
NUM01,OBJ11,texture,s2.50
NUM01,OBJ12,texture,s1.25
NUM01,OBJ13,texture,s2.50
NUM01,OBJ14,texture,s1.25
NUM01,OBJ15,texture,s2.50
NUM01,OBJ16,texture,s2.50
NUM01,OBJ17,texture,s1.25
NUM01,OBJ18,texture,C3
NUM01,OBJ19,texture,s1.25
NUM01,OBJ20,texture,C3
NUM01,OBJ21,texture,s1.25
NUM01,OBJ22,texture,C3
NUM01,OBJ23,texture,s2.50
NUM01,OBJ24,texture,s1.25
NUM01,OBJ25,texture,s1.25
NUM01,OBJ26,texture,s2.50
NUM01,OBJ27,texture,s1.25
NUM01,OBJ28,texture,s2.50
NUM01,OBJ29,texture,s1.25
NUM01,OBJ30,texture,s1.25
NUM01,OBJ01,shape,s2.50
NUM01,OBJ02,shape,C3
NUM01,OBJ03,shape,s2.50
NUM01,OBJ04,shape,s2.50
NUM01,OBJ05,shape,C3
NUM01,OBJ06,shape,s1.25
NUM01,OBJ07,shape,s2.50
NUM01,OBJ08,shape,C3
NUM01,OBJ09,shape,s2.50
NUM01,OBJ10,shape,s2.50
NUM01,OBJ11,shape,C3
NUM01,OBJ12,shape,C3
NUM01,OBJ13,shape,s1.25
NUM01,OBJ14,shape,C3
NUM01,OBJ15,shape,s2.50
NUM01,OBJ16,shape,C3
NUM01,OBJ17,shape,C3
NUM01,OBJ18,shape,s2.50
NUM01,OBJ19,shape,s2.50
NUM01,OBJ20,shape,s2.50
NUM01,OBJ21,shape,C3
NUM01,OBJ22,shape,C3
NUM01,OBJ23,shape,C3
NUM01,OBJ24,shape,s2.50
NUM01,OBJ25,shape,s2.50
NUM01,OBJ26,shape,C3
NUM01,OBJ27,shape,s2.50
NUM01,OBJ28,shape,s2.50
NUM01,OBJ29,shape,C3
NUM01,OBJ30,shape,C3
NUM01,OBJ01,overall,C3
NUM01,OBJ02,overall,C3
NUM01,OBJ03,overall,C3
NUM01,OBJ04,overall,C3
NUM01,OBJ05,overall,s2.50
NUM01,OBJ06,overall,s1.25
NUM01,OBJ07,overall,C3
NUM01,OBJ08,overall,C3
NUM01,OBJ09,overall,s2.50
NUM01,OBJ10,overall,C3
NUM01,OBJ11,overall,s2.50
NUM01,OBJ12,overall,s1.25
NUM01,OBJ13,overall,s1.25
NUM01,OBJ14,overall,s1.25
NUM01,OBJ15,overall,C3
NUM01,OBJ16,overall,C3
NUM01,OBJ17,overall,s1.25
NUM01,OBJ18,overall,s1.25
NUM01,OBJ19,overall,s2.50
NUM01,OBJ20,overall,s1.25
NUM01,OBJ21,overall,s2.50
NUM01,OBJ22,overall,s2.50
NUM01,OBJ23,overall,s2.50
NUM01,OBJ24,overall,C3
NUM01,OBJ25,overall,s2.50
NUM01,OBJ26,overall,C3
NUM01,OBJ27,overall,C3
NUM01,OBJ28,overall,s1.25
NUM01,OBJ29,overall,C3
NUM01,OBJ30,overall,s1.25
NUM02,OBJ01,texture,s2.50
NUM02,OBJ02,texture,C3
NUM02,OBJ03,texture,s2.50
NUM02,OBJ04,texture,C3
NUM02,OBJ05,texture,C3
NUM02,OBJ06,texture,C3
NUM02,OBJ07,texture,s2.50
NUM02,OBJ08,texture,C3
NUM02,OBJ09,texture,s2.50
NUM02,OBJ10,texture,s1.25
NUM02,OBJ11,texture,C3
NUM02,OBJ12,texture,s1.25
NUM02,OBJ13,texture,C3
NUM02,OBJ14,texture,s1.25
NUM02,OBJ15,texture,C3
NUM02,OBJ16,texture,C3
NUM02,OBJ17,texture,C3
NUM02,OBJ18,texture,C3
NUM02,OBJ19,texture,C3
NUM02,OBJ20,texture,s1.25
NUM02,OBJ21,texture,s1.25
NUM02,OBJ22,texture,C3
NUM02,OBJ23,texture,C3
NUM02,OBJ24,texture,C3
NUM02,OBJ25,texture,C3
NUM02,OBJ26,texture,s2.50
NUM02,OBJ27,texture,s1.25
NUM02,OBJ28,texture,C3
NUM02,OBJ29,texture,s1.25
NUM02,OBJ30,texture,s2.50
NUM02,OBJ01,shape,s2.50
NUM02,OBJ02,shape,s2.50
NUM02,OBJ03,shape,s1.25
NUM02,OBJ04,shape,s2.50
NUM02,OBJ05,shape,s1.25
NUM02,OBJ06,shape,s1.25
NUM02,OBJ07,shape,C3
NUM02,OBJ08,shape,C3
NUM02,OBJ09,shape,s1.25
NUM02,OBJ10,shape,s1.25
NUM02,OBJ11,shape,s2.50
NUM02,OBJ12,shape,s2.50
NUM02,OBJ13,shape,C3
NUM02,OBJ14,shape,C3
NUM02,OBJ15,shape,s1.25
